,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.5,0.7,19.0%,73.5%,7.5%,127.4
1,2,Phantom,5.4,0.2,16.5%,74.7%,8.8%,123.3
2,3,Operator,3.3,3.2,10.1%,85.5%,4.4%,150.3
3,4,Spectre,3,0.1,13.5%,75.5%,11.0%,93.9
4,5,Odin,2.9,1.8,9.5%,70.9%,19.5%,113.8
5,6,Ghost,2.6,0,20.3%,73.3%,6.5%,85.4
6,7,Sheriff,1.8,0,23.9%,71.2%,4.8%,106.8
7,8,Judge,1.6,0,12.5%,74.9%,12.6%,98.4
8,9,Guardian,1.6,0.5,21.2%,73.5%,5.3%,138.2
9,10,Ares,1.5,1,12.0%,71.4%,16.6%,97.8
10,11,Bulldog,1.5,0.3,15.3%,75.4%,9.3%,107.4
11,12,Classic,1.5,0.4,16.7%,75.6%,7.7%,75.1
12,13,Marshal,1.4,1.2,21.7%,73.7%,4.6%,125.5
13,14,Stinger,1.2,0.1,17.0%,74.1%,8.9%,96.5
14,15,Frenzy,1.1,0,16.6%,75.1%,8.2%,80.8
15,16,Bucky,1,0,14.5%,76.1%,9.4%,91.8
16,17,Shorty,0.8,0,14.6%,74.1%,11.4%,86.4
