,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.2,0.4,21.2%,72.2%,6.6%,126.7
1,2,Phantom,9.1,0.1,19.6%,73.1%,7.3%,123.3
2,3,Spectre,3.6,0.1,16.7%,74.7%,8.6%,93.8
3,4,Operator,3.5,0,10.4%,85.4%,4.3%,147.4
4,5,Ghost,3,0,24.5%,70.6%,4.8%,86.5
5,6,Odin,2.4,1.6,12.6%,71.4%,16.0%,110.8
6,7,Judge,2,0,13.4%,74.0%,12.6%,99.2
7,8,Sheriff,2,0,26.6%,69.2%,4.2%,108.7
8,9,Classic,1.7,0.7,20.7%,73.3%,6.0%,80.5
9,10,Frenzy,1.4,0,20.1%,73.9%,6.0%,83.8
10,11,Guardian,1.4,0.4,27.0%,68.6%,4.4%,140.5
11,12,Ares,1.3,0.9,9.8%,71.7%,18.5%,94.4
12,13,Bulldog,1.2,0.4,18.6%,73.9%,7.5%,106.8
13,14,Marshal,1.2,0,22.7%,73.3%,3.9%,124
14,15,Stinger,0.8,0.1,20.1%,73.2%,6.8%,95.7
15,16,Shorty,0.7,0,14.9%,74.1%,10.9%,89.5
16,17,Bucky,0.6,0,16.9%,75.8%,7.3%,88
