,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.8,0.7,17.9%,74.1%,7.9%,127.1
1,2,Phantom,5.8,0.2,15.9%,75.0%,9.2%,123.2
2,3,Spectre,3.4,0.1,13.0%,75.7%,11.3%,94.6
3,4,Operator,3.3,9.9%,85.7%,4.4%,150.4,
4,5,Odin,2.8,1.8,9.3%,70.8%,19.9%,113.8
5,6,Ghost,2.6,0,19.2%,73.9%,6.9%,85.6
6,7,Guardian,1.7,0.6,19.8%,74.4%,5.8%,138
7,8,Ares,1.6,1,11.8%,71.9%,16.3%,98.3
8,9,Judge,1.6,0,12.5%,74.7%,12.7%,98
9,10,Classic,1.6,0.4,15.7%,76.2%,8.1%,74.1
10,11,Sheriff,1.6,0,23.0%,71.9%,5.2%,105.7
11,12,Bulldog,1.4,0.4,14.4%,75.9%,9.7%,107.9
12,13,Marshal,1.3,1.2,21.5%,73.8%,4.7%,125.1
13,14,Frenzy,1.2,0,16.2%,75.5%,8.3%,80.9
14,15,Stinger,1,0.1,16.2%,74.4%,9.4%,95.8
15,16,Bucky,0.9,0,14.6%,76.1%,9.3%,90.8
16,17,Shorty,0.8,0,14.4%,74.1%,11.5%,85.3
