,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,38.7,0.7,22.8%,71.0%,6.2%,126.8
1,2,Phantom,17.1,0.1,20.8%,72.3%,6.9%,123.5
2,3,Spectre,7,0.1,17.9%,74.1%,8.0%,93.2
3,4,Ghost,5.9,0,26.5%,69.0%,4.5%,87.7
4,5,Operator,0,10.4%,85.3%,4.3%,147,
5,6,Sheriff,4.4,0,28.3%,67.8%,3.9%,109.6
6,7,Classic,3.8,1.7,22.3%,72.4%,5.3%,81.4
7,8,Odin,2.7,1.7,13.3%,70.2%,16.5%,109.7
8,9,Judge,2.6,0,13.7%,74.4%,12.0%,98.7
9,10,Frenzy,2.1,0,21.0%,73.2%,5.8%,84.9
10,11,Bucky,2,1.2,15.2%,74.8%,10.0%,93.4
11,12,Bulldog,1.4,0.4,20.4%,72.6%,7.0%,106.7
12,13,Guardian,1.3,0.3,28.0%,68.0%,4.0%,139.6
13,14,Ares,1.2,0.7,11.2%,70.8%,18.0%,91.8
14,15,Marshal,1.2,0,23.1%,73.3%,3.6%,123.5
15,16,Stinger,1,0.1,22.1%,71.7%,6.1%,94.9
16,17,Shorty,0.8,0,15.1%,74.2%,10.7%,89.3
