,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,17.5,0.4,24.2%,69.8%,5.9%,129.3
1,2,Phantom,6.3,0,21.4%,71.7%,6.9%,125.2
2,3,Operator,3.6,3.5,9.7%,86.1%,4.2%,149.6
3,4,Spectre,3,0,17.8%,73.7%,8.5%,93.1
4,5,Ghost,2.5,0,26.5%,68.9%,4.6%,87
5,6,Odin,2.4,1.5,11.8%,71.3%,16.9%,110.2
6,7,Sheriff,2.1,0,28.7%,67.3%,4.0%,110.6
7,8,Judge,1.6,0,12.8%,76.1%,11.2%,99
8,9,Bulldog,1.4,0.3,21.2%,72.0%,6.8%,109
9,10,Classic,1.4,0.4,20.7%,73.7%,5.6%,79.1
10,11,Guardian,1.4,0.3,27.8%,67.7%,4.5%,141.5
11,12,Marshal,1.4,1.2,23.6%,72.4%,4.0%,127.3
12,13,Ares,1.1,0.6,16.3%,69.5%,14.2%,92.5
13,14,Frenzy,1.1,0,20.4%,73.3%,6.3%,82.8
14,15,Stinger,0.9,0.1,19.8%,73.3%,6.9%,99
15,16,Bucky,0.8,0,15.4%,76.9%,7.8%,96.1
16,17,Shorty,0.8,0,14.6%,75.7%,9.7%,92.5
