,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,22.7,0.7,29.0%,65.8%,5.2%,131.2
1,2,Phantom,6.8,0.1,25.6%,68.1%,6.2%,126.7
2,3,Operator,4.2,9.1%,86.8%,4.1%,148.5,
3,4,Ghost,3.2,0,32.6%,63.9%,3.5%,88.6
4,5,Sheriff,3.1,0,32.3%,64.3%,3.4%,115
5,6,Odin,3,1.6,15.4%,74.3%,10.3%,113.5
6,7,Spectre,2.7,0,20.9%,71.9%,7.2%,92.8
7,8,Judge,1.9,0,11.6%,75.0%,13.4%,101.6
8,9,Bulldog,1.8,0.4,27.1%,67.5%,5.4%,110.6
9,10,Guardian,1.8,0.5,33.2%,62.1%,4.6%,149
10,11,Marshal,1.8,1.5,28.6%,68.1%,3.2%,135.9
11,12,Classic,1.4,0.5,24.0%,71.0%,5.0%,82.7
12,13,Ares,1.3,0.5,17.7%,69.8%,12.5%,84.9
13,14,Frenzy,1.3,0,21.8%,71.8%,6.4%,84.1
14,15,Stinger,1.3,0.1,20.7%,72.6%,6.7%,101
15,16,Shorty,0.9,0,14.2%,75.5%,10.3%,101.3
16,17,Bucky,0.7,0,14.5%,79.4%,6.1%,97.3
