,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.8,0.9,16.1%,74.5%,9.4%,125.7
1,2,Phantom,6.4,0.3,14.4%,74.9%,10.7%,121.7
2,3,Spectre,4,0.2,11.9%,75.4%,12.7%,94.7
3,4,Operator,3.4,10.4%,84.9%,4.8%,150.4,
4,5,Odin,3,1.8,8.8%,69.7%,21.5%,113.9
5,6,Ghost,2.7,0,17.4%,74.6%,8.0%,84.8
6,7,Ares,2,1.3,11.5%,71.4%,17.1%,98.5
7,8,Classic,1.8,0.5,14.5%,76.1%,9.4%,72.8
8,9,Guardian,1.8,0.7,18.2%,75.0%,6.8%,136.4
9,10,Sheriff,1.7,0,21.2%,72.7%,6.0%,104.2
10,11,Judge,1.6,0,12.2%,73.7%,14.1%,96.6
11,12,Bulldog,1.5,0.4,12.9%,75.9%,11.1%,107.6
12,13,Marshal,1.4,1.3,21.1%,73.5%,5.3%,124.6
13,14,Frenzy,1.1,0,14.9%,75.5%,9.5%,80.3
14,15,Stinger,1,0.1,15.2%,73.2%,11.6%,93.7
15,16,Bucky,0.9,0,14.2%,75.0%,10.8%,88.3
16,17,Shorty,0.8,0,14.1%,72.9%,13.0%,82.5
