,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.8,15.6%,74.5%,9.8%,124.5,
1,2,Phantom,7.1,0.4,14.2%,74.8%,11.0%,120.9
2,3,Ares,4.1,2.5,9.6%,71.7%,18.7%,99.3
3,4,Spectre,3.7,0.2,12.0%,75.0%,13.0%,94.4
4,5,Operator,3.4,10.4%,84.7%,4.9%,149.9,
5,6,Odin,2.9,1.9,9.6%,70.3%,20.1%,114.1
6,7,Ghost,2.7,0,16.8%,74.8%,8.4%,84
7,8,Classic,1.9,0.5,14.1%,76.0%,9.9%,71.8
8,9,Guardian,1.8,0.7,18.0%,74.8%,7.2%,136.3
9,10,Sheriff,1.7,0,20.6%,72.9%,6.5%,103.2
10,11,Bulldog,1.6,0.5,12.7%,75.9%,11.4%,107.6
11,12,Judge,1.6,0,12.0%,73.5%,14.4%,96
12,13,Marshal,1.4,1.2,21.1%,73.3%,5.5%,124.8
13,14,Frenzy,1.2,0,14.4%,75.4%,10.2%,78.9
14,15,Bucky,0.9,0,14.0%,75.0%,11.0%,86.5
15,16,Stinger,0.9,0.2,14.9%,73.2%,11.9%,92.1
16,17,Shorty,0.8,0,14.1%,72.8%,13.0%,80.9
