,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.7,16.3%,74.8%,8.9%,125.7,
1,2,Phantom,7.4,0.4,14.8%,75.3%,10.0%,122.3
2,3,Spectre,3.8,0.2,12.7%,76.1%,11.2%,96.3
3,4,Operator,3.3,0,10.1%,85.7%,4.3%,147.8
4,5,Ghost,3.2,0,18.9%,74.3%,6.8%,86.1
5,6,Odin,3.1,2,10.0%,71.4%,18.6%,114.3
6,7,Judge,2,0,12.8%,72.9%,14.3%,98.2
7,8,Ares,1.9,1.3,8.0%,72.7%,19.3%,98.6
8,9,Classic,1.9,0.7,15.9%,76.1%,8.0%,75.5
9,10,Sheriff,1.5,0,21.5%,73.1%,5.4%,105.3
10,11,Guardian,1.5,0.5,20.1%,74.1%,5.8%,137.6
11,12,Frenzy,1.4,0,16.0%,76.0%,8.0%,82
12,13,Bulldog,1.3,0.4,13.5%,75.9%,10.5%,106.8
13,14,Bucky,1.3,0.6,14.0%,73.4%,12.6%,87
14,15,Marshal,1.1,0,20.3%,75.1%,4.6%,122.3
15,16,Stinger,1,0.1,17.1%,73.7%,9.3%,94
16,17,Shorty,0.7,0,14.2%,72.4%,13.4%,78.9
