,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.5,0.3,23.8%,70.1%,6.0%,129.2
1,2,Phantom,7,0,21.5%,71.8%,6.7%,125.3
2,3,Operator,3.6,11.3%,84.5%,4.2%,150.6,
3,4,Ares,2.7,1.6,13.6%,71.5%,14.9%,97.1
4,5,Odin,2.6,1.7,13.6%,71.5%,14.9%,115
5,6,Spectre,2.5,0,18.1%,73.5%,8.4%,94.6
6,7,Ghost,2.3,0,26.0%,69.2%,4.9%,87.8
7,8,Sheriff,2,0,28.4%,67.4%,4.2%,110.1
8,9,Judge,1.5,0,13.1%,75.7%,11.2%,99.3
9,10,Bulldog,1.4,0.3,20.1%,72.9%,7.0%,108.3
10,11,Classic,1.4,0.5,21.6%,72.5%,5.9%,80.5
11,12,Guardian,1.4,0.3,27.7%,67.1%,5.2%,141.2
12,13,Marshal,1.3,1.1,25.2%,71.2%,3.6%,129.8
13,14,Frenzy,1.1,0,21.1%,72.6%,6.4%,85.2
14,15,Bucky,0.8,0,16.3%,76.1%,7.6%,95.5
15,16,Stinger,0.8,0.1,20.1%,72.3%,7.7%,97.9
16,17,Shorty,0.7,0,15.3%,74.4%,10.3%,91.1
