,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.3,0.6,17.5%,74.7%,7.8%,124.9
1,2,Phantom,7.4,0.2,16.3%,75.1%,8.6%,121.8
2,3,Operator,3.1,0,9.6%,86.3%,4.1%,146.4
3,4,Spectre,2.8,0.1,14.0%,75.9%,10.1%,94.3
4,5,Ghost,2.7,0,20.8%,73.3%,5.8%,86.4
5,6,Odin,2.6,1.7,10.9%,70.8%,18.3%,111.7
6,7,Stinger,2,0.1,14.0%,74.5%,11.5%,96.7
7,8,Judge,1.8,0,13.3%,73.5%,13.1%,97.9
8,9,Classic,1.7,0.7,17.7%,75.2%,7.1%,76.5
9,10,Frenzy,1.6,0,17.7%,75.3%,6.9%,81
10,11,Ares,1.3,0.9,8.5%,71.6%,19.8%,96.3
11,12,Bucky,1.3,0.7,14.1%,73.4%,12.5%,89.2
12,13,Sheriff,1.3,0,23.0%,71.9%,5.1%,105.4
13,14,Guardian,1.3,0.4,21.5%,73.5%,5.0%,135.2
14,15,Bulldog,1.2,0.3,15.1%,75.7%,9.2%,105.4
15,16,Marshal,1,0,19.2%,76.6%,4.1%,119.9
16,17,Shorty,0.7,0,15.0%,73.1%,11.9%,81
