,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.1,0.4,21.9%,71.7%,6.5%,128.3
1,2,Phantom,6.8,0.1,19.5%,73.1%,7.4%,124.3
2,3,Operator,3.5,9.7%,86.0%,4.3%,149.8,
3,4,Spectre,3.1,0,16.1%,74.6%,9.2%,93.1
4,5,Odin,2.4,1.6,11.3%,71.8%,16.8%,112.1
5,6,Ghost,2.4,0,23.9%,70.9%,5.2%,86.6
6,7,Sheriff,2,0,26.5%,69.0%,4.4%,108.6
7,8,Judge,1.6,0,13.0%,75.4%,11.6%,98.3
8,9,Classic,1.5,0.5,19.4%,74.3%,6.4%,77.2
9,10,Guardian,1.5,0.4,25.9%,69.3%,4.8%,140.8
10,11,Bulldog,1.4,0.3,18.4%,73.9%,7.7%,108.4
11,12,Marshal,1.4,1.2,22.8%,72.9%,4.3%,126
12,13,Ares,1.1,0.7,15.9%,69.6%,14.5%,94.8
13,14,Frenzy,1.1,0,19.1%,74.1%,6.8%,82.9
14,15,Bucky,0.8,0,15.4%,76.3%,8.2%,93.7
15,16,Shorty,0.8,0,14.8%,74.9%,10.3%,89.6
16,17,Stinger,0.8,0.1,18.6%,73.3%,8.1%,97.2
