,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,17.3,0.3,21.3%,72.1%,6.6%,125.9
1,2,Phantom,8.4,0.1,19.7%,73.0%,7.3%,123.1
2,3,Spectre,3.6,0.1,17.0%,74.6%,8.4%,93.4
3,4,Operator,3.5,0,10.0%,85.5%,4.5%,147
4,5,Ghost,3,0,25.0%,70.3%,4.8%,87.1
5,6,Odin,2.4,1.6,12.4%,71.1%,16.5%,111.1
6,7,Sheriff,2,0,26.8%,69.2%,4.1%,108.2
7,8,Judge,1.9,0,13.4%,74.2%,12.4%,98
8,9,Classic,1.9,0.8,21.1%,73.2%,5.7%,79.5
9,10,Frenzy,1.5,0,20.4%,73.6%,6.0%,83.4
10,11,Bucky,1.3,0.8,15.1%,74.5%,10.3%,91.3
11,12,Bulldog,1.2,0.3,18.6%,74.1%,7.3%,105.6
12,13,Guardian,1.2,0.3,27.0%,69.1%,3.9%,141.8
13,14,Ares,1.1,0.7,10.0%,69.5%,20.5%,91.9
14,15,Marshal,1.1,0,20.9%,75.5%,3.5%,121.1
15,16,Stinger,0.8,0.1,20.7%,72.3%,7.0%,93.4
16,17,Shorty,0.7,0,15.3%,73.9%,10.8%,88.3
