,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,11.3,1.2,14.8%,74.5%,10.7%,124.2
1,2,Phantom,7,0.6,13.6%,74.6%,11.7%,120.6
2,3,Spectre,4.3,0.3,11.5%,75.3%,13.3%,95.2
3,4,Operator,3.2,0,10.4%,84.7%,4.9%,148.8
4,5,Odin,3.1,2,9.6%,69.8%,20.6%,114.4
5,6,Ares,2.8,1.9,7.6%,71.8%,20.6%,98.6
6,7,Ghost,2.8,0,16.2%,74.7%,9.1%,84.3
7,8,Classic,2,0.6,13.8%,75.9%,10.3%,72.5
8,9,Guardian,1.7,0.7,16.8%,75.4%,7.7%,134.7
9,10,Judge,1.6,0,11.8%,72.9%,15.4%,94.8
10,11,Bulldog,1.5,0.5,12.3%,75.6%,12.0%,106.5
11,12,Sheriff,1.5,0,19.5%,73.6%,7.0%,102.7
12,13,Marshal,1.4,0,20.4%,73.9%,5.7%,123.8
13,14,Frenzy,1.3,0,14.5%,75.4%,10.1%,79.9
14,15,Bucky,0.9,0,13.8%,74.7%,11.5%,85.3
15,16,Stinger,0.9,0.2,15.2%,73.0%,11.8%,91.8
16,17,Shorty,0.8,0,13.5%,71.9%,14.6%,78.1
