,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.6,1.2,15.0%,75.3%,9.7%,124.4
1,2,Phantom,7.7,0.5,13.8%,75.5%,10.7%,120.9
2,3,Spectre,3.3,0.2,11.8%,76.2%,12.0%,95.4
3,4,Odin,3.2,2.1,9.5%,70.7%,19.7%,113.7
4,5,Operator,3.1,0,9.4%,86.1%,4.5%,147.1
5,6,Ghost,3,0,17.4%,75.1%,7.5%,85.1
6,7,Ares,2.1,1.4,7.5%,72.3%,20.1%,97.9
7,8,Stinger,2,0.2,12.2%,74.5%,13.4%,95.8
8,9,Judge,1.8,0,12.3%,72.8%,14.9%,97.3
9,10,Classic,1.8,0.7,14.9%,76.3%,8.8%,73.7
10,11,Frenzy,1.6,0,15.1%,76.4%,8.5%,79.1
11,12,Guardian,1.5,0.6,17.9%,75.6%,6.5%,134.9
12,13,Bulldog,1.4,0.4,12.4%,76.6%,11.0%,105.9
13,14,Bucky,1.4,0.7,13.2%,72.8%,14.1%,86.7
14,15,Sheriff,1.2,0,20.1%,74.0%,6.0%,103.4
15,16,Marshal,1,0,18.1%,77.2%,4.7%,120.5
16,17,Shorty,0.7,0,13.9%,71.4%,14.7%,75.6
