,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,7.2,1.7,12.1%,72.9%,15.1%,119.7
1,2,Phantom,5.5,1.2,11.3%,72.6%,16.0%,116.2
2,3,Spectre,4.6,0.9,10.1%,73.3%,16.6%,92.7
3,4,Ares,2.7,6.9%,69.2%,24.0%,97.6,
4,5,Odin,2.9,1.8,8.7%,66.8%,24.5%,112.5
5,6,Operator,2.6,0,10.1%,83.2%,6.6%,146.3
6,7,Ghost,2.2,0,12.0%,74.5%,13.5%,81.5
7,8,Guardian,1.9,0.9,12.0%,75.2%,12.8%,127
8,9,Bulldog,1.6,0.6,9.9%,73.7%,16.4%,102.8
9,10,Judge,1.6,0,10.1%,70.3%,19.6%,90.7
10,11,Classic,1.6,0.3,10.4%,75.2%,14.3%,68.9
11,12,Sheriff,1.4,0,16.0%,73.6%,10.4%,99.9
12,13,Marshal,1.2,0,17.1%,74.9%,8.0%,118.2
13,14,Frenzy,1.1,0,12.8%,74.3%,13.0%,76.5
14,15,Bucky,0.9,0,11.3%,72.4%,16.3%,81.2
15,16,Shorty,0.8,0,11.1%,69.7%,19.2%,69
16,17,Stinger,0.8,0.2,12.6%,70.8%,16.6%,86.9
