,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.9,0.5,19.3%,73.4%,7.3%,127.3
1,2,Phantom,6.8,0.1,17.1%,74.5%,8.4%,123.4
2,3,Spectre,3.5,0.1,14.2%,75.3%,10.5%,93.8
3,4,Operator,3.4,9.9%,85.8%,4.3%,150.1,
4,5,Odin,2.7,1.7,9.9%,71.4%,18.7%,113.5
5,6,Ghost,2.6,0,21.0%,73.0%,6.1%,85.8
6,7,Sheriff,1.8,0,24.1%,71.0%,4.9%,106.4
7,8,Classic,1.7,0.5,17.1%,75.5%,7.4%,75.1
8,9,Judge,1.6,0,12.7%,74.7%,12.5%,98.1
9,10,Guardian,1.6,0.5,22.4%,72.4%,5.2%,139
10,11,Ares,1.4,0.8,13.3%,71.5%,15.2%,96.5
11,12,Bulldog,1.4,0.3,15.8%,75.4%,8.8%,108
12,13,Marshal,1.4,1.2,22.1%,73.3%,4.6%,125.2
13,14,Frenzy,1.2,0,17.2%,75.1%,7.7%,81.6
14,15,Bucky,0.9,0,14.9%,75.9%,9.1%,90.8
15,16,Stinger,0.9,0.1,17.1%,73.7%,9.2%,95.7
16,17,Shorty,0.8,0,14.7%,74.1%,11.2%,86.2
