,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.4,0.9,16.0%,74.4%,9.6%,125.6
1,2,Phantom,7.1,0.4,14.6%,74.8%,10.6%,121.8
2,3,Spectre,4.2,0.2,12.2%,75.4%,12.4%,95.5
3,4,Operator,3.6,2.8,10.5%,84.9%,4.6%,149.9
4,5,Odin,3.1,1.9,10.0%,70.2%,19.8%,114.5
5,6,Ghost,2.7,0,17.3%,74.6%,8.2%,84.7
6,7,Ares,2.5,1.7,8.1%,72.6%,19.3%,98.4
7,8,Classic,1.8,0.5,14.6%,75.8%,9.6%,72.8
8,9,Sheriff,1.7,0,21.1%,72.8%,6.1%,104.4
9,10,Guardian,1.7,0.7,19.1%,74.3%,6.6%,136.3
10,11,Judge,1.6,0,12.2%,73.4%,14.4%,96.2
11,12,Marshal,1.4,1,21.1%,73.6%,5.2%,125
12,13,Bulldog,1.3,0.4,13.1%,75.7%,11.2%,106.7
13,14,Frenzy,1.2,0,15.1%,75.4%,9.6%,80.5
14,15,Bucky,0.9,0,14.1%,74.9%,11.0%,86.9
15,16,Stinger,0.9,0.1,15.4%,73.1%,11.5%,92.5
16,17,Shorty,0.8,0,14.1%,73.1%,12.9%,82.4
