,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.1,0.7,16.9%,74.9%,8.2%,124.9
1,2,Phantom,7.3,0.2,15.6%,75.4%,9.0%,121.5
2,3,Operator,0,9.6%,86.2%,4.2%,146.6,
3,4,Spectre,2.9,0.1,13.4%,76.2%,10.4%,94.6
4,5,Ghost,2.8,0,20.0%,73.8%,6.3%,86
5,6,Odin,2.7,1.8,10.7%,71.1%,18.2%,113.2
6,7,Stinger,2.1,0.2,13.7%,74.4%,12.0%,96.6
7,8,Judge,1.8,0,13.3%,73.3%,13.5%,98.4
8,9,Classic,1.7,0.7,17.1%,75.4%,7.4%,76
9,10,Frenzy,1.6,0,17.2%,75.8%,7.0%,80.6
10,11,Ares,1.5,1,8.0%,72.5%,19.4%,96.8
11,12,Bucky,1.4,0.7,13.8%,73.7%,12.5%,88.9
12,13,Bulldog,1.3,0.3,14.5%,75.8%,9.7%,105.8
13,14,Guardian,1.3,0.4,20.8%,74.1%,5.1%,136.9
14,15,Sheriff,1.2,0,22.6%,72.2%,5.3%,105.3
15,16,Marshal,1,0,18.7%,77.0%,4.3%,120.1
16,17,Shorty,0.6,0,15.0%,72.7%,12.3%,80.2
