,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,26.1,0.7,28.3%,66.3%,5.4%,130.5
1,2,Phantom,7.2,0.1,24.5%,69.2%,6.3%,124.9
2,3,Operator,4.4,4.3,10.2%,85.4%,4.4%,150.4
3,4,Ghost,3.6,0,30.9%,65.4%,3.7%,87.9
4,5,Sheriff,3.3,0,32.4%,64.3%,3.2%,114.2
5,6,Spectre,3.3,0,19.8%,72.4%,7.7%,91.8
6,7,Odin,2.5,1.4,13.1%,70.6%,16.2%,108.7
7,8,Bulldog,1.8,0.4,26.1%,67.9%,6.1%,110.2
8,9,Guardian,1.8,0.4,32.6%,63.6%,3.8%,145.5
9,10,Judge,1.7,0,12.4%,76.0%,11.7%,100.3
10,11,Marshal,1.7,1.4,25.5%,70.7%,3.8%,130.3
11,12,Classic,1.6,0.5,24.5%,70.6%,4.9%,83.5
12,13,Frenzy,1.4,0,22.4%,72.0%,5.6%,83.4
13,14,Ares,1.3,0.7,17.4%,68.7%,13.9%,92.1
14,15,Stinger,1.3,0.1,20.5%,73.2%,6.3%,97.7
15,16,Bucky,0.9,0,14.8%,78.2%,7.0%,99.1
16,17,Shorty,0.9,0,14.2%,75.8%,10.0%,99.8
