,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.2,1.4,13.9%,74.3%,11.8%,123.2
1,2,Phantom,6.5,0.7,12.9%,74.3%,12.8%,119.5
2,3,Spectre,4.4,0.5,11.0%,74.8%,14.2%,94.7
3,4,Ares,3.2,2.1,7.4%,71.0%,21.6%,98.6
4,5,Odin,3.1,2,9.4%,69.1%,21.6%,114.1
5,6,Operator,3.1,0,10.4%,84.3%,5.2%,148.6
6,7,Ghost,2.7,0,15.1%,74.9%,10.1%,83.8
7,8,Classic,1.9,0.5,12.8%,75.9%,11.3%,71.4
8,9,Guardian,1.8,0.8,15.7%,75.4%,8.9%,133.4
9,10,Judge,1.6,0,11.3%,72.5%,16.2%,93.8
10,11,Bulldog,1.5,0.5,11.5%,75.1%,13.3%,105.7
11,12,Sheriff,1.5,0,18.6%,73.6%,7.8%,101.9
12,13,Marshal,1.3,0,19.8%,74.0%,6.2%,122.7
13,14,Frenzy,1.2,0,13.9%,75.4%,10.7%,79.2
14,15,Bucky,0.9,0,13.3%,74.0%,12.7%,84
15,16,Stinger,0.9,0.2,14.5%,72.6%,12.9%,90.8
16,17,Shorty,0.8,0,12.9%,71.4%,15.7%,75.7
