,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,9.2,1.4,13.4%,73.8%,12.8%,122.2
1,2,Phantom,6.1,0.9,12.4%,73.6%,14.0%,118.4
2,3,Spectre,4.6,0.6,10.6%,74.2%,15.1%,94
3,4,Ares,3.4,2.2,7.2%,70.2%,22.6%,98.3
4,5,Odin,3,1.8,9.0%,68.0%,23.0%,113.6
5,6,Operator,3,2.4,10.3%,84.2%,5.5%,148.5
6,7,Ghost,2.4,0,13.8%,74.8%,11.3%,83
7,8,Guardian,1.8,0.8,14.6%,75.3%,10.0%,131.4
8,9,Classic,1.7,0.4,11.9%,75.5%,12.5%,69.8
9,10,Judge,1.5,0,11.0%,71.9%,17.1%,92.7
10,11,Sheriff,1.5,0,17.9%,73.9%,8.2%,101.7
11,12,Bulldog,1.4,0.5,10.6%,74.8%,14.6%,104
12,13,Marshal,1.3,0.9,18.8%,74.4%,6.8%,121
13,14,Frenzy,1.1,0,13.3%,75.0%,11.8%,78.1
14,15,Bucky,0.9,0,12.4%,73.9%,13.7%,83.4
15,16,Stinger,0.9,0.2,13.5%,72.1%,14.4%,89.3
16,17,Shorty,0.8,0,12.8%,71.9%,15.3%,76
