,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.3,0.7,17.6%,74.5%,8.0%,125.6
1,2,Phantom,7.6,0.2,16.0%,75.1%,8.9%,122.3
2,3,Spectre,3.6,0.1,13.7%,76.0%,10.3%,95.5
3,4,Operator,3.2,0,10.1%,85.7%,4.2%,147.3
4,5,Ghost,3,0,20.5%,73.5%,6.1%,86
5,6,Odin,2.8,1.9,10.7%,71.6%,17.7%,113.5
6,7,Judge,1.9,0,13.2%,73.2%,13.6%,98.4
7,8,Classic,1.9,0.7,17.2%,75.6%,7.2%,76.4
8,9,Sheriff,1.6,0,22.8%,72.2%,5.0%,105.9
9,10,Ares,1.5,1,8.4%,72.2%,19.4%,96.9
10,11,Frenzy,1.4,0,17.2%,75.6%,7.2%,82.7
11,12,Guardian,1.4,0.4,22.2%,72.7%,5.1%,137.7
12,13,Bucky,1.3,0.6,14.4%,73.8%,11.9%,88
13,14,Bulldog,1.2,0.3,14.9%,75.4%,9.7%,106.4
14,15,Marshal,1.1,0,20.8%,75.0%,4.2%,121.6
15,16,Stinger,1,0.1,18.4%,73.2%,8.4%,93.8
16,17,Shorty,0.7,0,14.7%,72.6%,12.7%,81.9
