,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,9.4,2.4,11.8%,73.3%,14.9%,119.8
1,2,Phantom,6.9,1.6,11.0%,72.9%,16.1%,116.3
2,3,Spectre,5.6,1.1,10.0%,73.8%,16.2%,93.2
3,4,Ares,4.5,3,6.7%,69.6%,23.7%,98
4,5,Odin,3.4,2.1,8.4%,67.2%,24.4%,112.9
5,6,Ghost,2.9,0,11.9%,75.0%,13.1%,81.8
6,7,Operator,2.7,0,9.4%,84.3%,6.3%,145
7,8,Judge,2.4,0,9.8%,69.5%,20.7%,93.8
8,9,Guardian,1.9,0.9,11.7%,75.6%,12.8%,127.8
9,10,Classic,1.8,0.3,10.2%,75.9%,13.9%,69.1
10,11,Bulldog,1.6,0.6,9.6%,73.7%,16.7%,102.7
11,12,Sheriff,1.4,0,15.6%,74.2%,10.2%,100.1
12,13,Frenzy,1.2,0,12.5%,75.2%,12.3%,76.3
13,14,Marshal,1.1,0,16.1%,76.2%,7.7%,116.4
14,15,Stinger,0.9,0.2,12.9%,70.8%,16.3%,87.9
15,16,Bucky,0.8,0,11.3%,72.4%,16.3%,79.7
16,17,Shorty,0.7,0,11.1%,68.4%,20.4%,66
