,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,21.7,0.4,24.9%,69.0%,6.1%,128.8
1,2,Phantom,8.4,0,22.0%,71.0%,7.0%,124.6
2,3,Operator,4.3,10.3%,85.0%,4.7%,149.7,
3,4,Spectre,3.6,0,18.5%,73.1%,8.4%,92.7
4,5,Ghost,2.9,0,27.2%,68.1%,4.6%,87.3
5,6,Sheriff,2.9,0,29.5%,66.4%,4.1%,111.1
6,7,Odin,2.3,1.4,12.2%,70.7%,17.1%,111.1
7,8,Judge,1.8,0,12.9%,75.7%,11.5%,99
8,9,Classic,1.8,0.6,22.1%,72.5%,5.4%,81
9,10,Marshal,1.6,1.3,24.4%,71.7%,3.9%,128.1
10,11,Guardian,1.5,0.3,29.1%,66.3%,4.6%,140.7
11,12,Bulldog,1.4,0.3,22.1%,71.0%,6.9%,107.6
12,13,Frenzy,1.2,0,20.7%,72.9%,6.4%,84.5
13,14,Ares,1.1,0.6,17.7%,68.7%,13.6%,92.5
14,15,Bucky,0.8,0,15.0%,76.9%,8.0%,96.7
15,16,Shorty,0.8,0,14.7%,75.0%,10.3%,94
16,17,Stinger,0.7,0.1,19.8%,72.1%,8.1%,95.8
