,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.6,0.3,27.8%,66.6%,5.5%,130.3
1,2,Phantom,6.8,0,23.8%,69.8%,6.3%,127.2
2,3,Operator,4.4,4.3,10.2%,85.7%,4.1%,148.8
3,4,Odin,2.6,1.2,12.5%,71.3%,16.3%,126.8
4,5,Spectre,2.5,0,20.3%,72.6%,7.1%,93.6
5,6,Sheriff,2.4,0,31.4%,65.0%,3.7%,113.4
6,7,Ghost,2.3,0,29.7%,65.8%,4.5%,88.9
7,8,Judge,2,0,11.6%,77.1%,11.3%,101.3
8,9,Ares,1.6,0.8,17.3%,71.3%,11.4%,93.1
9,10,Guardian,1.5,0.2,36.6%,58.6%,4.8%,154.5
10,11,Marshal,1.5,1.3,23.7%,72.4%,3.9%,132.7
11,12,Bulldog,1.2,0.4,24.4%,69.6%,6.0%,104.6
12,13,Frenzy,1.2,0,18.9%,74.1%,7.0%,81.2
13,14,Classic,1.2,0.5,23.6%,72.0%,4.4%,84.7
14,15,Shorty,1,0,12.5%,75.5%,12.0%,103.1
15,16,Stinger,0.8,0,12.9%,77.7%,9.4%,102.8
16,17,Bucky,0.7,0,16.0%,80.8%,3.2%,101.4
