,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.7,0.6,20.9%,72.4%,6.7%,128
1,2,Phantom,5.6,0.1,18.2%,73.9%,7.9%,123.8
2,3,Operator,3.3,9.9%,85.8%,4.3%,150,
3,4,Spectre,2.9,0.1,15.0%,75.0%,10.0%,93.2
4,5,Odin,2.6,1.7,10.4%,71.3%,18.3%,112.7
5,6,Ghost,2.6,0,22.5%,71.9%,5.6%,85.9
6,7,Sheriff,1.9,0,25.7%,69.9%,4.4%,108.2
7,8,Judge,1.6,0,12.9%,75.1%,12.0%,98.9
8,9,Guardian,1.6,0.5,23.6%,71.6%,4.8%,139.3
9,10,Bulldog,1.5,0.3,17.2%,74.5%,8.3%,107.6
10,11,Classic,1.4,0.4,18.5%,74.6%,6.9%,76.8
11,12,Marshal,1.4,1.2,22.9%,72.8%,4.3%,126.4
12,13,Ares,1.3,0.8,13.3%,71.8%,14.9%,95.6
13,14,Frenzy,1.1,0,18.3%,74.3%,7.4%,81.8
14,15,Stinger,1.1,0.1,18.3%,73.8%,8.0%,97.4
15,16,Bucky,1,0,14.5%,76.7%,8.8%,93.3
16,17,Shorty,0.8,0,14.9%,74.2%,10.9%,89.3
