,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.7,0.7,17.1%,74.3%,8.7%,126.3
1,2,Phantom,8.6,0.3,15.7%,74.8%,9.5%,122.8
2,3,Spectre,4.1,0.1,13.1%,75.5%,11.4%,95.6
3,4,Operator,3.7,0,10.6%,84.9%,4.5%,149.5
4,5,Odin,3,1.9,10.4%,70.7%,18.8%,114.2
5,6,Ghost,2.7,0,19.0%,73.8%,7.2%,85.6
6,7,Classic,2.1,0.9,16.3%,75.3%,8.4%,75.9
7,8,Ares,2,1.4,8.5%,72.8%,18.7%,98.1
8,9,Sheriff,1.8,0,22.5%,71.9%,5.6%,105.5
9,10,Guardian,1.7,0.6,21.2%,73.0%,5.8%,138
10,11,Judge,1.6,0,12.7%,73.9%,13.3%,97.3
11,12,Marshal,1.5,0,22.0%,73.1%,4.9%,125.9
12,13,Bulldog,1.3,0.4,14.2%,75.5%,10.3%,106.6
13,14,Frenzy,1.2,0,16.1%,75.1%,8.7%,81.8
14,15,Bucky,0.9,0,14.9%,75.3%,9.8%,88.6
15,16,Stinger,0.9,0.1,16.5%,73.2%,10.3%,93.8
16,17,Shorty,0.8,0,14.6%,73.6%,11.9%,85.9
