,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,20.8,0.4,24.3%,69.6%,6.1%,128.6
1,2,Phantom,10.5,0.1,22.0%,71.2%,6.8%,124.4
2,3,Operator,4.6,3.5,10.5%,84.9%,4.6%,149.6
3,4,Spectre,4.2,0,18.2%,73.4%,8.3%,93.8
4,5,Ghost,3.1,0,26.7%,68.6%,4.7%,87.6
5,6,Sheriff,3.1,0,29.3%,66.7%,4.0%,110.8
6,7,Odin,2.5,1.6,13.2%,70.6%,16.2%,110.4
7,8,Classic,2.1,0.8,22.5%,71.8%,5.7%,81.1
8,9,Judge,1.7,0,13.2%,75.0%,11.8%,98.1
9,10,Marshal,1.6,1,25.8%,70.5%,3.7%,129.8
10,11,Guardian,1.5,0.3,29.2%,66.3%,4.4%,141.1
11,12,Ares,1.3,0.8,11.8%,72.8%,15.5%,92.3
12,13,Bulldog,1.2,0.4,21.3%,71.8%,6.9%,108.1
13,14,Frenzy,1.2,0,20.7%,72.9%,6.5%,84.9
14,15,Bucky,0.8,0,15.5%,76.4%,8.1%,93.3
15,16,Shorty,0.8,0,15.0%,74.9%,10.1%,95
16,17,Stinger,0.7,0.1,19.9%,72.5%,7.6%,96.5
