,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,9.8,2.3,12.0%,73.7%,14.3%,120.6
1,2,Phantom,6.8,1.6,11.1%,73.3%,15.6%,117.2
2,3,Spectre,5.2,1,10.0%,74.2%,15.8%,94.3
3,4,Ares,4.1,2.8,6.6%,69.9%,23.5%,98.7
4,5,Odin,3.5,2.2,8.4%,68.0%,23.6%,113.8
5,6,Ghost,3,0,12.4%,75.3%,12.2%,82.9
6,7,Operator,2.7,0,9.5%,84.4%,6.0%,145.7
7,8,Judge,2.2,0,10.0%,69.9%,20.0%,94.1
8,9,Classic,1.8,0.4,10.7%,76.2%,13.2%,70
9,10,Guardian,1.8,0.9,11.9%,76.3%,11.8%,129.1
10,11,Bulldog,1.6,0.6,9.6%,74.4%,16.0%,103.8
11,12,Sheriff,1.4,0,15.8%,74.6%,9.6%,100.6
12,13,Frenzy,1.3,0,12.4%,75.9%,11.7%,77.4
13,14,Bucky,1.1,0.4,11.6%,71.3%,17.2%,80.8
14,15,Marshal,1,0,16.8%,75.9%,7.3%,117.4
15,16,Stinger,0.9,0.2,13.0%,72.2%,14.8%,89
16,17,Shorty,0.7,0,11.9%,69.2%,18.9%,67.6
