,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.8,0.3,21.7%,71.7%,6.6%,128.1
1,2,Phantom,7.9,0.1,19.9%,72.9%,7.3%,124.4
2,3,Operator,3.9,3.1,10.7%,84.9%,4.4%,150.1
3,4,Spectre,3.4,0,16.5%,74.4%,9.1%,94.2
4,5,Odin,2.5,1.7,12.2%,71.1%,16.7%,112.2
5,6,Ghost,2.5,0,24.0%,70.8%,5.3%,86.8
6,7,Sheriff,2.1,0,26.9%,68.7%,4.4%,109
7,8,Judge,1.6,0,13.3%,74.7%,12.0%,98.1
8,9,Classic,1.6,0.6,20.3%,73.3%,6.4%,79.1
9,10,Guardian,1.4,0.4,26.8%,68.6%,4.7%,140.6
10,11,Marshal,1.4,1,24.2%,71.7%,4.1%,128
11,12,Ares,1.3,0.9,10.1%,72.9%,17.0%,94.6
12,13,Bulldog,1.2,0.3,18.5%,73.5%,8.0%,107.2
13,14,Frenzy,1.1,0,19.6%,73.5%,6.9%,83.8
14,15,Bucky,0.8,0,15.9%,75.8%,8.3%,92.4
15,16,Shorty,0.8,0,15.4%,74.2%,10.4%,91.4
16,17,Stinger,0.7,0.1,18.8%,73.1%,8.1%,95.1
