,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.5,1.1,15.4%,74.7%,9.9%,124.9
1,2,Phantom,5.6,0.5,13.6%,75.0%,11.5%,120.8
2,3,Spectre,3.9,0.3,11.3%,75.5%,13.2%,94.2
3,4,Operator,3.1,10.0%,85.1%,4.8%,150.2,
4,5,Odin,3,1.9,8.4%,69.1%,22.5%,113.9
5,6,Ghost,2.7,0,16.2%,75.0%,8.7%,84.5
6,7,Ares,2.2,1.4,10.5%,71.3%,18.2%,98.8
7,8,Guardian,2,0.8,15.9%,76.3%,7.8%,135
8,9,Classic,1.7,0.3,13.4%,76.6%,10.0%,71.4
9,10,Judge,1.6,0,11.7%,73.8%,14.6%,96.1
10,11,Sheriff,1.6,0,20.2%,73.5%,6.3%,103.7
11,12,Bulldog,1.5,0.4,12.2%,76.1%,11.7%,107.4
12,13,Marshal,1.3,1.2,20.2%,74.3%,5.5%,123.7
13,14,Frenzy,1.1,0,14.5%,75.6%,9.9%,79.5
14,15,Stinger,1.1,0.2,14.6%,73.7%,11.6%,94
15,16,Bucky,0.9,0,13.6%,75.3%,11.0%,88.5
16,17,Shorty,0.8,0,13.5%,73.3%,13.2%,80.1
