,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.9,0.8,16.6%,74.4%,9.0%,125.7
1,2,Phantom,7.9,0.3,15.3%,74.8%,9.9%,122.2
2,3,Spectre,4.1,0.2,12.7%,75.5%,11.7%,95.4
3,4,Operator,3.4,0,10.5%,84.9%,4.6%,149.1
4,5,Odin,3,2,10.3%,70.7%,19.1%,114.3
5,6,Ghost,2.8,0,18.6%,73.9%,7.5%,85.2
6,7,Ares,2.2,1.5,8.3%,72.5%,19.1%,98.4
7,8,Classic,2,0.8,15.7%,75.6%,8.7%,74.8
8,9,Judge,1.6,0,12.5%,73.7%,13.8%,96.3
9,10,Sheriff,1.6,0,21.6%,72.3%,6.1%,104.3
10,11,Guardian,1.6,0.6,20.1%,73.8%,6.1%,137.2
11,12,Bulldog,1.4,0.4,13.8%,75.8%,10.4%,107
12,13,Marshal,1.4,0,21.3%,73.6%,5.1%,124.7
13,14,Frenzy,1.3,0,16.1%,75.1%,8.8%,81.4
14,15,Bucky,0.9,0,14.9%,75.0%,10.1%,87.7
15,16,Stinger,0.9,0.1,16.6%,73.2%,10.2%,93.4
16,17,Shorty,0.8,0,14.2%,73.0%,12.7%,82.6
