,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,8.6,1.9,12.7%,72.3%,15.0%,120
1,2,Phantom,4.8,1.2,11.2%,71.9%,16.9%,115.6
2,3,Spectre,4.1,0.9,10.1%,72.5%,17.5%,90.6
3,4,Odin,2.7,1.7,7.7%,65.2%,27.1%,111.3
4,5,Ares,2.6,1.7,9.2%,67.7%,23.1%,97.2
5,6,Operator,2.5,10.4%,82.9%,6.8%,147.3,
6,7,Guardian,2.4,1.1,11.7%,74.1%,14.3%,127.9
7,8,Ghost,2.2,0,12.1%,74.0%,13.9%,81.6
8,9,Bulldog,1.8,0.6,9.9%,72.9%,17.1%,102.3
9,10,Judge,1.6,0,9.6%,70.6%,19.8%,90.8
10,11,Sheriff,1.6,0,19.2%,70.7%,10.1%,103.8
11,12,Classic,1.5,0.2,10.9%,74.4%,14.7%,69.3
12,13,Bucky,1.1,0,11.6%,73.4%,15.1%,86.1
13,14,Marshal,1.1,1,16.5%,74.8%,8.7%,116.1
14,15,Frenzy,1,0,12.4%,73.8%,13.8%,76.4
15,16,Stinger,1,0.2,12.8%,70.9%,16.3%,88.8
16,17,Shorty,0.9,0,12.6%,70.1%,17.3%,72.7
