,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.6,1.3,14.9%,75.0%,10.1%,124.8
1,2,Phantom,6.8,0.6,13.6%,75.1%,11.3%,121.1
2,3,Spectre,3.9,0.3,11.6%,76.0%,12.3%,96.3
3,4,Odin,3.2,2.1,9.5%,70.6%,19.9%,114.6
4,5,Operator,3.1,0,10.1%,85.4%,4.5%,148.1
5,6,Ghost,3,0,17.0%,75.0%,7.9%,85.3
6,7,Ares,2.4,1.6,7.4%,72.1%,20.4%,98.9
7,8,Judge,1.9,0,12.2%,72.4%,15.5%,97.4
8,9,Classic,1.8,0.6,14.4%,76.5%,9.1%,73.8
9,10,Guardian,1.5,0.6,17.5%,75.6%,6.8%,136.3
10,11,Frenzy,1.4,0,14.8%,76.3%,8.9%,80.9
11,12,Sheriff,1.4,0,20.1%,73.9%,6.0%,104.4
12,13,Bulldog,1.3,0.4,12.1%,76.0%,11.9%,106.3
13,14,Bucky,1.2,0.5,13.4%,72.9%,13.7%,85
14,15,Marshal,1.1,0,19.8%,75.1%,5.1%,121.9
15,16,Stinger,1,0.1,16.0%,73.4%,10.5%,93.2
16,17,Shorty,0.7,0,13.7%,71.4%,14.9%,75.9
