,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.2,0.6,18.0%,73.9%,8.1%,126.7
1,2,Phantom,7.5,0.2,16.4%,74.6%,9.1%,123.1
2,3,Operator,3.6,3.5,10.6%,84.7%,4.6%,150.3
3,4,Ares,3.4,2,10.7%,72.1%,17.2%,98.8
4,5,Spectre,3.2,0.1,13.7%,75.1%,11.2%,94.9
5,6,Odin,2.8,1.8,10.6%,71.3%,18.1%,114.5
6,7,Ghost,2.7,0,19.7%,73.6%,6.8%,85.5
7,8,Classic,1.8,0.5,16.4%,75.4%,8.3%,74.6
8,9,Sheriff,1.8,0,23.1%,71.5%,5.4%,105.5
9,10,Guardian,1.7,0.6,21.1%,73.3%,5.6%,138.1
10,11,Judge,1.6,0,12.9%,74.1%,13.0%,97.3
11,12,Bulldog,1.5,0.4,14.7%,75.8%,9.5%,108.1
12,13,Marshal,1.4,1.2,22.5%,72.7%,4.8%,126.3
13,14,Frenzy,1.2,0,16.5%,74.8%,8.8%,81.2
14,15,Stinger,0.9,0.1,17.1%,72.8%,10.0%,93.6
15,16,Bucky,0.8,0,15.0%,75.6%,9.4%,89
16,17,Shorty,0.8,0,14.8%,73.5%,11.7%,86.5
