,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.9,0.4,22.3%,71.4%,6.3%,128.3
1,2,Phantom,6.2,0.1,19.9%,72.9%,7.3%,124.5
2,3,Operator,3.5,3.4,9.7%,86.1%,4.2%,150.1
3,4,Spectre,3,0,16.5%,74.5%,9.0%,92.9
4,5,Odin,2.5,1.6,11.0%,71.4%,17.5%,112
5,6,Ghost,2.5,0,24.3%,70.6%,5.1%,86.4
6,7,Sheriff,1.9,0,27.0%,68.9%,4.2%,108.9
7,8,Judge,1.6,0,13.1%,75.6%,11.2%,99.1
8,9,Guardian,1.5,0.4,25.9%,69.6%,4.5%,140.4
9,10,Bulldog,1.4,0.3,18.7%,73.9%,7.3%,107.8
10,11,Classic,1.4,0.4,19.5%,74.3%,6.2%,77.4
11,12,Marshal,1.4,1.2,23.0%,72.9%,4.1%,126.3
12,13,Ares,1.1,0.7,15.0%,70.5%,14.4%,93.9
13,14,Frenzy,1.1,0,19.5%,73.9%,6.6%,82.6
14,15,Stinger,0.9,0.1,18.9%,73.6%,7.5%,97.9
15,16,Bucky,0.8,0,15.3%,76.7%,8.0%,93.7
16,17,Shorty,0.8,0,14.9%,75.1%,10.1%,90.4
