,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.7,0.4,20.0%,72.8%,7.2%,126.9
1,2,Phantom,9.2,0.1,18.4%,73.6%,8.0%,123.2
2,3,Operator,3.8,0,10.6%,84.9%,4.4%,149.1
3,4,Spectre,3.7,0.1,15.3%,74.8%,9.9%,94
4,5,Odin,2.6,1.7,11.7%,71.4%,17.0%,112.3
5,6,Ghost,2.6,0,22.3%,71.8%,5.8%,86.2
6,7,Classic,2,1,19.2%,73.9%,6.9%,78.6
7,8,Sheriff,2,0,25.3%,69.9%,4.8%,107.4
8,9,Judge,1.6,0,13.3%,74.4%,12.2%,97.6
9,10,Guardian,1.5,0.4,25.0%,70.1%,4.9%,139.4
10,11,Marshal,1.5,0,23.3%,72.3%,4.4%,126.7
11,12,Ares,1.4,0.9,9.7%,73.0%,17.3%,95.3
12,13,Bulldog,1.2,0.3,17.0%,74.3%,8.8%,106.6
13,14,Frenzy,1.1,0,18.4%,74.1%,7.5%,83.4
14,15,Bucky,0.8,0,15.4%,76.0%,8.6%,91.8
15,16,Shorty,0.8,0,15.3%,74.0%,10.7%,89.7
16,17,Stinger,0.8,0.1,18.3%,73.0%,8.7%,94.9
