,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,19.6,0.3,23.4%,70.3%,6.3%,127.8
1,2,Phantom,12,0.1,21.4%,71.5%,7.1%,123.7
2,3,Operator,4.5,0,10.4%,85.1%,4.5%,149
3,4,Spectre,4.2,0.1,18.0%,73.2%,8.8%,93
4,5,Ghost,3.1,0,26.3%,68.8%,4.9%,87.6
5,6,Sheriff,3,0,28.8%,67.0%,4.2%,110.5
6,7,Classic,2.4,1.2,22.5%,71.7%,5.9%,81.6
7,8,Odin,2.3,1.5,13.3%,70.9%,15.9%,109.1
8,9,Judge,1.8,0,13.1%,74.7%,12.2%,98.1
9,10,Marshal,1.6,0,25.6%,70.5%,3.9%,129.3
10,11,Guardian,1.5,0.3,29.6%,66.0%,4.3%,140.6
11,12,Ares,1.3,0.8,10.9%,72.6%,16.5%,91.3
12,13,Bulldog,1.2,0.4,20.7%,71.9%,7.3%,107
13,14,Frenzy,1.2,0,20.7%,72.5%,6.7%,84.4
14,15,Bucky,0.8,0,15.4%,76.6%,8.0%,93.2
15,16,Shorty,0.8,0,14.6%,75.0%,10.4%,93.1
16,17,Stinger,0.7,0.1,19.4%,73.1%,7.6%,96.4
