,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16,0.6,19.6%,73.2%,7.2%,127.8
1,2,Phantom,5.5,0.1,17.2%,74.4%,8.5%,123.8
2,3,Operator,3.3,3.2,9.9%,85.7%,4.4%,150
3,4,Spectre,3,0.1,14.0%,75.4%,10.6%,93.9
4,5,Odin,2.8,1.8,9.9%,71.3%,18.9%,113.4
5,6,Ghost,2.6,0,21.2%,72.7%,6.1%,85.8
6,7,Sheriff,1.8,0,24.6%,70.7%,4.7%,107.3
7,8,Judge,1.7,0,12.6%,74.8%,98.6,
8,9,Guardian,1.6,0.5,22.3%,72.6%,5.2%,138.7
9,10,Ares,1.5,0.9,12.3%,72.0%,15.8%,97.5
10,11,Bulldog,1.5,0.3,15.9%,75.3%,8.9%,107.6
11,12,Classic,1.5,0.4,17.3%,75.3%,7.4%,75.7
12,13,Marshal,1.4,1.2,22.0%,73.7%,4.4%,125.6
13,14,Frenzy,1.1,0,17.1%,75.0%,7.9%,81.4
14,15,Stinger,1.1,0.1,17.4%,74.2%,8.4%,96.6
15,16,Bucky,1,0,14.7%,76.1%,9.2%,91.8
16,17,Shorty,0.8,0,14.8%,74.0%,11.2%,87.8
