,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.2,0.3,22.0%,71.4%,6.6%,127.1
1,2,Phantom,9,0.1,20.2%,72.6%,7.3%,123.3
2,3,Operator,3.7,0,10.7%,84.9%,4.4%,149
3,4,Spectre,3.4,0,16.9%,74.0%,9.1%,93.2
4,5,Ghost,2.6,0,24.9%,69.7%,5.3%,87
5,6,Odin,2.4,1.6,12.3%,70.9%,16.9%,110.5
6,7,Sheriff,2.1,0,27.0%,68.4%,4.6%,108.8
7,8,Classic,1.9,0.9,21.2%,72.6%,6.1%,80.1
8,9,Judge,1.6,0,13.4%,74.8%,11.8%,97.9
9,10,Guardian,1.4,0.4,28.1%,67.2%,4.7%,141.3
10,11,Marshal,1.4,0,24.1%,71.9%,4.0%,127.6
11,12,Ares,1.3,0.8,10.3%,71.6%,18.0%,93.2
12,13,Bulldog,1.3,0.4,19.6%,73.0%,7.4%,106.9
13,14,Frenzy,1.3,0,20.1%,73.1%,6.8%,83.8
14,15,Bucky,0.8,0,16.3%,76.0%,7.7%,93.8
15,16,Stinger,0.8,0.1,19.9%,72.8%,7.4%,95.6
16,17,Shorty,0.7,0,15.0%,74.5%,10.5%,90.7
