,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.1,0.5,19.7%,73.2%,7.0%,126.4
1,2,Phantom,8.9,0.1,18.3%,74.0%,7.7%,123.2
2,3,Spectre,3.7,0.1,15.5%,75.3%,9.2%,94.4
3,4,Operator,3.4,0,10.3%,85.3%,4.3%,147.8
4,5,Ghost,3.1,0,22.7%,71.9%,5.3%,86.1
5,6,Odin,2.5,1.7,11.7%,71.4%,16.9%,112.3
6,7,Judge,2,0,13.4%,73.7%,12.8%,98.8
7,8,Sheriff,1.9,0,24.9%,70.5%,4.6%,107.5
8,9,Classic,1.8,0.7,19.2%,74.4%,6.3%,79.1
9,10,Ares,1.4,0.9,9.4%,72.2%,18.4%,95.7
10,11,Frenzy,1.4,0,18.9%,74.5%,6.6%,83.4
11,12,Guardian,1.4,0.4,24.6%,70.7%,4.6%,139.4
12,13,Bulldog,1.2,0.3,17.1%,74.6%,8.3%,106.3
13,14,Marshal,1.2,0,21.5%,74.4%,4.2%,123.3
14,15,Stinger,0.8,0.1,18.7%,73.4%,8.0%,94.3
15,16,Bucky,0.7,0,16.3%,75.8%,7.8%,88.7
16,17,Shorty,0.7,0,14.8%,73.9%,11.3%,87.3
