,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.6,2.9,11.5%,73.5%,15.0%,120.9
1,2,Phantom,8.2,2.1,10.7%,73.2%,16.1%,117.5
2,3,Spectre,5.4,1.2,9.7%,73.8%,16.4%,94.4
3,4,Ares,4.3,2.9,6.6%,69.6%,23.8%,99
4,5,Odin,3.8,2.5,8.2%,67.5%,24.3%,114.2
5,6,Ghost,3.1,0,12.2%,75.0%,12.8%,83.2
6,7,Operator,2.7,0,9.1%,84.5%,6.4%,144.6
7,8,Judge,2.3,0,9.6%,69.5%,20.9%,94.3
8,9,Bulldog,1.9,0.7,9.2%,74.8%,16.0%,104.3
9,10,Classic,1.9,0.4,10.4%,75.7%,13.9%,70.5
10,11,Guardian,1.9,1,11.2%,76.6%,12.2%,129
11,12,Stinger,1.8,0.3,9.6%,72.6%,17.8%,93.6
12,13,Frenzy,1.4,0,12.2%,75.1%,12.7%,75.9
13,14,Sheriff,1.3,0,14.8%,75.1%,10.1%,100
14,15,Bucky,1.2,0.5,11.0%,70.6%,18.4%,81.6
15,16,Marshal,1,0,14.2%,77.9%,8.0%,114.3
16,17,Shorty,0.8,0,11.7%,68.5%,19.8%,67.1
