,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,17.6,0.3,24.2%,69.6%,6.2%,128.5
1,2,Phantom,7.4,0,21.4%,71.6%,7.0%,124.4
2,3,Operator,3.9,10.1%,85.3%,4.6%,149.5,
3,4,Spectre,3.2,0,17.8%,73.5%,8.7%,92.6
4,5,Ghost,2.5,0,26.5%,68.8%,4.7%,87.3
5,6,Sheriff,2.4,0,29.1%,66.7%,4.1%,110.8
6,7,Odin,2.3,1.5,12.0%,71.6%,16.4%,110.2
7,8,Judge,1.7,0,13.1%,75.1%,11.8%,98.5
8,9,Classic,1.5,0.6,21.5%,72.8%,5.8%,80.4
9,10,Marshal,1.5,1.2,24.4%,71.5%,4.1%,127.6
10,11,Bulldog,1.4,0.3,21.2%,71.8%,6.9%,108
11,12,Guardian,1.4,0.3,29.2%,66.3%,4.6%,142.3
12,13,Frenzy,1.2,0,20.6%,73.1%,6.3%,83.3
13,14,Ares,1.1,0.6,17.8%,68.6%,13.6%,92.3
14,15,Bucky,0.8,0,15.3%,76.8%,7.9%,94.7
15,16,Shorty,0.8,0,15.0%,74.6%,10.4%,92.5
16,17,Stinger,0.7,0.1,19.7%,72.3%,7.9%,96.6
