,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.9,0.4,21.1%,72.1%,6.8%,127.7
1,2,Phantom,7.9,0.1,19.3%,73.2%,7.5%,124.2
2,3,Operator,3.9,3.1,10.6%,85.0%,4.4%,150.1
3,4,Spectre,3.5,0.1,16.0%,74.7%,9.3%,94.3
4,5,Odin,2.5,1.6,12.2%,71.4%,16.4%,112.2
5,6,Ghost,2.5,0,23.4%,71.2%,5.4%,86.6
6,7,Sheriff,2.1,0,26.3%,69.3%,4.4%,108.3
7,8,Classic,1.7,0.6,19.6%,73.8%,6.6%,78.2
8,9,Judge,1.6,0,13.3%,74.8%,11.9%,98.1
9,10,Ares,1.4,0.9,10.1%,73.1%,16.7%,95.2
10,11,Guardian,1.4,0.4,26.0%,69.3%,4.7%,139.9
11,12,Marshal,1.4,1,23.6%,72.2%,4.2%,127.1
12,13,Bulldog,1.2,0.3,17.9%,74.0%,8.1%,107.6
13,14,Frenzy,1.1,0,19.1%,73.9%,7.0%,83.8
14,15,Bucky,0.8,0,15.7%,76.0%,8.3%,92.4
15,16,Shorty,0.8,0,15.1%,74.4%,10.5%,90.6
16,17,Stinger,0.7,0.1,18.8%,72.9%,8.3%,95.2
