,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.7,1.5,13.4%,73.9%,12.7%,121.9
1,2,Phantom,5.7,0.8,12.1%,73.6%,14.3%,117.9
2,3,Spectre,4.5,0.6,10.4%,74.1%,15.5%,93.1
3,4,Operator,3,2.9,10.4%,83.7%,5.9%,149.2
4,5,Odin,2.9,1.8,7.9%,67.0%,25.1%,113.2
5,6,Ares,2.7,1.8,10.2%,69.9%,19.8%,98.3
6,7,Ghost,2.6,0,13.8%,74.9%,11.3%,83
7,8,Guardian,2,0.9,13.7%,76.0%,10.3%,131.6
8,9,Bulldog,1.7,0.5,10.7%,74.5%,14.8%,105.5
9,10,Classic,1.7,0.3,11.8%,75.8%,12.4%,69.4
10,11,Judge,1.6,0,10.9%,72.0%,17.0%,93.3
11,12,Sheriff,1.5,0,17.8%,73.9%,8.3%,101.4
12,13,Marshal,1.3,1.2,18.6%,74.3%,7.1%,120.4
13,14,Frenzy,1.1,0,13.1%,75.0%,12.0%,77.9
14,15,Bucky,0.9,0,12.6%,73.4%,14.0%,84.4
15,16,Stinger,0.9,0.2,13.4%,71.9%,14.7%,90.9
16,17,Shorty,0.8,0,13.1%,71.3%,15.6%,76.2
