,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.7,0.5,20.2%,72.8%,7.0%,127.6
1,2,Phantom,6.5,0.1,17.7%,74.2%,8.1%,123.7
2,3,Operator,3.3,9.9%,85.9%,4.2%,150.3,
3,4,Spectre,3.1,0.1,14.6%,75.2%,10.2%,93.6
4,5,Odin,2.7,1.7,10.3%,71.4%,18.3%,113.3
5,6,Ghost,2.6,0,21.8%,72.3%,5.9%,85.3
6,7,Sheriff,1.8,0,25.0%,70.5%,4.5%,107.2
7,8,Judge,1.6,0,12.7%,75.2%,12.1%,98.6
8,9,Guardian,1.6,0.5,22.8%,72.1%,5.1%,138.7
9,10,Classic,1.5,0.4,17.8%,75.0%,7.2%,75.8
10,11,Bulldog,1.4,0.3,16.4%,75.0%,8.6%,107.3
11,12,Marshal,1.4,1.2,22.3%,73.4%,4.3%,125.7
12,13,Ares,1.3,0.8,13.2%,71.4%,15.5%,96.3
13,14,Stinger,1.2,0.1,18.3%,73.7%,7.9%,96.5
14,15,Frenzy,1.1,0,17.6%,74.9%,7.5%,81.2
15,16,Bucky,0.9,0,15.1%,76.3%,8.7%,92.8
16,17,Shorty,0.8,0,14.9%,74.4%,10.7%,87.5
