,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.6,0.6,19.0%,73.6%,7.4%,127.3
1,2,Phantom,6.2,0.2,16.7%,74.6%,8.7%,123.4
2,3,Operator,3.3,3.2,10.0%,85.7%,4.3%,150.4
3,4,Spectre,3.1,0.1,13.7%,75.5%,10.8%,94.2
4,5,Odin,2.7,1.7,9.7%,71.1%,19.2%,113.6
5,6,Ghost,2.6,0,20.4%,73.2%,6.4%,85.2
6,7,Sheriff,1.7,0,23.8%,71.4%,4.8%,106.3
7,8,Judge,1.6,0,12.5%,74.9%,12.6%,98.4
8,9,Guardian,1.6,0.5,21.5%,73.1%,5.4%,138.4
9,10,Classic,1.5,0.4,16.7%,75.6%,7.7%,75
10,11,Ares,1.4,0.9,12.2%,71.4%,16.4%,97.1
11,12,Bulldog,1.4,0.3,15.4%,75.4%,9.2%,107.3
12,13,Marshal,1.3,1.2,21.7%,73.8%,4.5%,125.3
13,14,Stinger,1.2,0.1,17.6%,73.7%,8.6%,96
14,15,Frenzy,1.1,0,16.8%,75.1%,8.1%,80.8
15,16,Bucky,0.9,0,14.7%,76.2%,9.1%,91.8
16,17,Shorty,0.8,0,14.7%,74.0%,11.3%,86.1
