,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,20.3,0.5,25.3%,68.9%,5.7%,129.4
1,2,Phantom,6.2,0.1,22.3%,71.0%,6.7%,124.8
2,3,Operator,3.6,10.2%,85.5%,4.4%,149.7,
3,4,Ghost,2.9,0,27.9%,67.7%,4.4%,87.6
4,5,Spectre,2.9,0,18.5%,73.1%,8.4%,92.2
5,6,Sheriff,2.4,0,29.9%,66.4%,3.7%,111.9
6,7,Odin,2.3,1.4,12.6%,70.6%,16.8%,109.3
7,8,Judge,1.7,0,12.8%,76.0%,11.2%,99.7
8,9,Bulldog,1.6,0.4,22.3%,71.0%,6.7%,108.4
9,10,Guardian,1.5,0.4,29.3%,66.5%,4.1%,141.7
10,11,Marshal,1.5,1.2,24.8%,71.4%,3.8%,128.5
11,12,Classic,1.4,0.5,22.4%,72.2%,5.4%,81
12,13,Ares,1.2,0.7,15.3%,71.2%,13.6%,91.6
13,14,Frenzy,1.2,0,21.0%,72.9%,6.1%,83.2
14,15,Stinger,1.1,0.1,20.4%,73.1%,6.6%,98.9
15,16,Bucky,0.9,0,15.1%,76.5%,8.4%,95.5
16,17,Shorty,0.8,0,14.8%,75.6%,9.6%,94.7
