,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,15.1,0.4,20.4%,72.8%,6.8%,126.9
1,2,Phantom,8.6,0.1,18.9%,73.7%,7.5%,123.7
2,3,Spectre,3.5,0.1,15.9%,75.0%,9.0%,94.3
3,4,Operator,3.4,0,10.3%,85.5%,4.2%,147.8
4,5,Ghost,2.9,0,23.5%,71.4%,5.1%,86.6
5,6,Odin,2.5,1.7,11.6%,71.4%,16.9%,111.6
6,7,Judge,2,0,13.6%,73.8%,12.6%,99
7,8,Sheriff,1.8,0,25.5%,70.1%,4.4%,108.1
8,9,Classic,1.7,0.7,20.0%,73.9%,6.1%,80
9,10,Frenzy,1.4,0,19.3%,74.2%,6.4%,83.6
10,11,Guardian,1.4,0.4,25.0%,70.5%,4.6%,139.8
11,12,Ares,1.3,0.9,9.8%,72.0%,18.3%,94.9
12,13,Bulldog,1.2,0.3,17.4%,74.7%,7.9%,106.4
13,14,Marshal,1.2,0,22.3%,74.0%,3.8%,123.6
14,15,Stinger,0.8,0.1,19.2%,73.0%,7.9%,94.8
15,16,Bucky,0.7,0.1,16.4%,75.7%,7.8%,90.6
16,17,Shorty,0.6,0,15.2%,73.5%,11.3%,87.9
