,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.2,0.2,26.5%,67.8%,5.8%,130.4
1,2,Phantom,6.6,0,23.9%,69.6%,6.5%,126.4
2,3,Operator,4,3.9,9.6%,85.4%,4.9%,150
3,4,Odin,3,2,13.9%,72.4%,13.6%,113.6
4,5,Ghost,2.2,0,29.2%,66.5%,4.3%,89.1
5,6,Sheriff,2.2,0,31.2%,65.0%,3.8%,113.1
6,7,Spectre,2.2,0,19.7%,72.2%,8.0%,93
7,8,Ares,1.9,1.1,14.9%,72.0%,13.1%,95.1
8,9,Judge,1.7,0,13.3%,76.3%,10.4%,98
9,10,Bulldog,1.6,0.4,24.3%,69.8%,5.9%,109.6
10,11,Guardian,1.4,0.3,30.2%,65.7%,4.0%,143.6
11,12,Marshal,1.4,1.2,24.4%,73.0%,2.5%,130
12,13,Classic,1.2,0.5,23.9%,70.4%,5.6%,83.2
13,14,Frenzy,1.1,0,21.0%,72.4%,6.6%,83.3
14,15,Bucky,0.9,0,15.2%,75.4%,9.4%,102.1
15,16,Shorty,0.9,0,13.3%,77.2%,9.5%,98.1
16,17,Stinger,0.7,0.1,23.2%,69.5%,7.3%,108.8
