,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,16.5,0.5,21.9%,71.7%,6.4%,128.1
1,2,Phantom,6.6,0.1,19.4%,73.2%,7.5%,124.2
2,3,Operator,3.4,9.8%,86.0%,4.1%,150,
3,4,Spectre,3,0,16.0%,74.6%,9.4%,93
4,5,Ghost,2.6,0,23.9%,70.9%,5.2%,85.8
5,6,Odin,2.5,1.6,11.0%,71.3%,17.7%,112.3
6,7,Sheriff,1.9,0,26.7%,69.2%,4.2%,108.6
7,8,Judge,1.6,0,13.1%,75.2%,11.7%,98.9
8,9,Bulldog,1.5,0.3,18.4%,73.9%,7.7%,107.2
9,10,Guardian,1.5,0.4,25.1%,70.3%,4.6%,139.9
10,11,Classic,1.4,0.4,19.4%,74.1%,6.4%,77.4
11,12,Marshal,1.4,1.2,22.8%,73.1%,4.1%,126.1
12,13,Ares,1.2,0.7,14.4%,70.7%,14.8%,95
13,14,Stinger,1.2,0.1,19.5%,73.4%,7.2%,97.4
14,15,Frenzy,1.1,0,19.2%,74.0%,6.8%,82
15,16,Bucky,0.9,0,15.2%,76.6%,8.2%,93.8
16,17,Shorty,0.8,0,15.1%,74.7%,10.2%,89.8
