,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,10.5,1.5,13.7%,74.0%,12.3%,122.2
1,2,Phantom,5.6,0.9,12.1%,73.8%,14.1%,118.2
2,3,Spectre,4,0.6,10.3%,74.2%,15.5%,93
3,4,Odin,2.9,1.8,8.0%,66.7%,25.3%,113
4,5,Operator,2.8,9.8%,84.4%,5.8%,148.7,
5,6,Ghost,2.6,0,13.7%,75.0%,11.3%,83
6,7,Ares,2.5,1.6,9.8%,69.8%,20.4%,98.9
7,8,Guardian,2.1,0.9,13.0%,76.5%,10.5%,130.8
8,9,Bulldog,1.7,0.5,10.7%,74.9%,14.4%,105.8
9,10,Judge,1.6,0,10.6%,72.3%,17.1%,93.6
10,11,Classic,1.6,0.2,11.7%,76.0%,12.3%,69.7
11,12,Sheriff,1.5,0,18.1%,73.9%,8.0%,101.9
12,13,Marshal,1.2,1.1,18.5%,74.7%,6.8%,120.6
13,14,Frenzy,1.1,0,13.5%,74.6%,11.8%,77.9
14,15,Stinger,1.1,0.2,13.6%,72.8%,91.2,
15,16,Bucky,0.9,0,12.0%,74.0%,14.0%,85.1
16,17,Shorty,0.8,0,12.7%,72.2%,15.1%,76.3
