,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.8,1.1,15.1%,74.6%,10.3%,124.6
1,2,Phantom,6.1,0.5,13.4%,74.8%,11.9%,120.5
2,3,Spectre,4,0.3,11.1%,75.2%,13.7%,94.2
3,4,Operator,3.2,3.1,9.9%,85.2%,5.0%,149.8
4,5,Odin,2.9,1.8,8.4%,68.9%,22.7%,113.7
5,6,Ghost,2.6,0,16.0%,75.1%,9.0%,84.3
6,7,Ares,2.2,1.5,10.7%,70.9%,18.4%,99
7,8,Guardian,1.9,0.7,16.2%,75.7%,8.1%,134.7
8,9,Classic,1.8,0.4,13.3%,76.4%,10.3%,71.3
9,10,Judge,1.6,0,11.6%,73.4%,15.0%,95.3
10,11,Sheriff,1.6,0,20.0%,73.3%,6.7%,103.5
11,12,Bulldog,1.5,0.4,11.9%,75.8%,12.4%,107.1
12,13,Marshal,1.4,1.2,20.2%,73.9%,5.9%,123.5
13,14,Frenzy,1.2,0,14.5%,75.4%,10.2%,79.8
14,15,Bucky,0.9,0,13.4%,74.9%,11.7%,87.3
15,16,Stinger,0.9,0.2,14.4%,73.0%,12.7%,92.4
16,17,Shorty,0.8,0,13.4%,72.8%,13.8%,80
