,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,13.5,1.4,14.9%,74.9%,10.2%,124.8
1,2,Phantom,7.5,0.6,13.8%,75.0%,11.2%,121.4
2,3,Spectre,4.5,0.3,11.7%,75.9%,12.4%,96.1
3,4,Odin,3.3,2.1,9.6%,70.5%,20.0%,114.6
4,5,Ghost,3.3,0,16.6%,75.1%,8.3%,84.8
5,6,Operator,3.2,0,10.2%,85.1%,4.7%,148
6,7,Ares,2.6,1.8,7.6%,72.2%,20.2%,99
7,8,Judge,2.2,0,11.9%,72.3%,15.7%,97.6
8,9,Classic,1.9,0.6,14.0%,76.5%,9.5%,73.9
9,10,Guardian,1.7,0.7,17.4%,75.5%,7.1%,135.8
10,11,Sheriff,1.5,0,19.6%,74.1%,6.3%,103.8
11,12,Bulldog,1.4,0.4,12.0%,76.1%,11.8%,106.4
12,13,Frenzy,1.4,0,14.9%,76.1%,9.0%,80.8
13,14,Marshal,1.2,0,20.3%,74.6%,5.1%,123.2
14,15,Stinger,0.9,0.1,15.7%,73.4%,10.9%,93.3
15,16,Bucky,0.8,0,14.2%,74.5%,11.3%,83.8
16,17,Shorty,0.7,0,13.6%,71.9%,14.6%,77.9
