,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,8.9,1.9,12.5%,72.4%,15.1%,119.4
1,2,Phantom,5.8,1.3,11.2%,71.7%,17.1%,115
2,3,Spectre,5,1,10.0%,72.6%,17.3%,91.2
3,4,Odin,2.9,1.7,7.6%,65.3%,27.1%,111.3
4,5,Ares,2.9,1.9,9.3%,68.4%,22.3%,96.9
5,6,Operator,2.6,2.5,10.1%,82.1%,7.8%,146.9
6,7,Ghost,2.4,0,11.7%,74.5%,13.8%,81.6
7,8,Guardian,2.3,1,11.0%,74.9%,14.1%,127.3
8,9,Bulldog,1.8,0.6,9.9%,72.6%,17.6%,102.7
9,10,Judge,1.7,0,9.9%,70.1%,20.0%,90
10,11,Classic,1.7,0.2,10.3%,74.8%,14.9%,68.2
11,12,Sheriff,1.6,0,16.9%,72.7%,10.4%,101.7
12,13,Marshal,1.2,1.1,16.5%,75.0%,8.5%,117
13,14,Frenzy,1.1,0,12.7%,73.2%,14.1%,75.2
14,15,Bucky,0.9,0,11.4%,71.5%,17.2%,82
15,16,Stinger,0.9,0.2,11.8%,70.1%,18.1%,85.1
16,17,Shorty,0.8,0,11.0%,70.8%,18.2%,70.5
