,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,22.7,0.5,28.1%,66.4%,5.4%,130.9
1,2,Phantom,7.1,0,24.5%,69.0%,6.5%,126.2
2,3,Operator,4.4,4.3,9.3%,86.6%,4.1%,149.3
3,4,Spectre,3.3,0,20.1%,72.3%,7.6%,92.6
4,5,Ghost,2.9,0,30.1%,65.9%,4.0%,87.3
5,6,Sheriff,2.8,0,32.2%,64.5%,3.3%,113.9
6,7,Odin,2.5,1.5,12.7%,71.3%,16.0%,106.7
7,8,Judge,1.7,0,12.2%,76.9%,10.9%,98.9
8,9,Bulldog,1.6,0.4,24.9%,69.3%,5.8%,108.7
9,10,Guardian,1.6,0.4,33.2%,63.2%,3.6%,147.4
10,11,Marshal,1.6,1.3,25.5%,71.1%,3.3%,129.5
11,12,Classic,1.5,0.5,22.8%,72.2%,5.1%,81.7
12,13,Frenzy,1.3,0,22.7%,72.1%,5.2%,83.8
13,14,Ares,1.1,0.6,17.5%,70.8%,11.7%,92.6
14,15,Stinger,1,0.1,20.5%,73.5%,6.0%,100.5
15,16,Shorty,0.9,0,14.1%,76.4%,9.5%,99.4
16,17,Bucky,0.8,0,14.1%,77.7%,8.2%,96.2
