,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.1,16.8%,74.4%,8.7%,126.2,
1,2,Phantom,5.2,0.3,14.5%,75.1%,10.4%,121.9
2,3,Spectre,3.3,0.2,12.0%,75.6%,12.5%,94.2
3,4,Operator,3.2,9.9%,85.5%,4.6%,150.1,
4,5,Odin,3,1.9,8.7%,69.8%,21.5%,114.4
5,6,Ghost,2.7,0,17.7%,74.6%,7.8%,84.9
6,7,Ares,1.9,1.3,10.6%,71.4%,18.0%,98.9
7,8,Guardian,1.8,0.6,17.9%,75.3%,6.8%,136.1
8,9,Sheriff,1.7,0,21.8%,72.7%,5.6%,105.3
9,10,Judge,1.6,0,11.9%,74.3%,13.8%,97.5
10,11,Bulldog,1.5,0.4,13.2%,76.1%,10.7%,107.1
11,12,Classic,1.5,0.3,14.7%,76.2%,9.1%,73
12,13,Marshal,1.4,1.2,20.7%,74.1%,5.2%,124.4
13,14,Stinger,1.2,0.1,15.7%,74.2%,10.1%,94.9
14,15,Bucky,1.1,0,13.8%,75.8%,10.4%,90.9
15,16,Frenzy,1.1,0,15.1%,75.6%,9.4%,79.9
16,17,Shorty,0.8,0,14.1%,73.6%,12.3%,83
