,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,12.6,1.4,14.6%,74.5%,10.9%,123.7
1,2,Phantom,5.5,0.6,13.0%,74.5%,12.6%,119.6
2,3,Spectre,4.1,0.4,10.8%,75.0%,14.1%,93.7
3,4,Operator,3.1,3,9.9%,84.8%,5.3%,149.9
4,5,Odin,3,1.8,8.1%,68.1%,23.8%,113.4
5,6,Ghost,2.7,0,15.1%,75.2%,9.7%,83.9
6,7,Ares,2.3,1.5,10.2%,70.9%,19.0%,98.6
7,8,Guardian,2.1,0.9,14.8%,76.4%,8.8%,134.1
8,9,Classic,1.7,0.3,12.7%,76.5%,10.9%,70.8
9,10,Bulldog,1.6,0.4,11.5%,75.8%,12.8%,106
10,11,Judge,1.6,0,11.3%,73.1%,15.7%,95
11,12,Sheriff,1.6,0,19.2%,73.7%,7.0%,102.7
12,13,Marshal,1.3,1.2,19.7%,74.2%,6.1%,122.5
13,14,Frenzy,1.1,0,14.0%,75.5%,10.5%,78.9
14,15,Stinger,1.1,0.2,14.2%,73.3%,12.5%,92.9
15,16,Bucky,1,0,13.1%,74.7%,12.2%,87.1
16,17,Shorty,0.8,0,13.0%,73.0%,14.0%,78.5
