,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.1,0.8,17.2%,74.4%,8.4%,126.4
1,2,Phantom,5.6,0.2,15.1%,75.1%,9.8%,122.4
2,3,Spectre,3.4,0.2,12.5%,75.7%,11.9%,94.4
3,4,Operator,3.3,3.2,9.9%,85.6%,4.4%,150.5
4,5,Odin,2.9,1.8,9.0%,70.4%,20.6%,113.8
5,6,Ghost,2.6,0,18.3%,74.4%,7.3%,85.2
6,7,Guardian,1.8,0.6,18.8%,74.8%,6.3%,137.3
7,8,Ares,1.7,1.1,11.4%,71.6%,17.0%,98.3
8,9,Judge,1.6,0,12.2%,74.5%,13.4%,97.4
9,10,Classic,1.6,0.4,15.0%,76.4%,8.6%,73.2
10,11,Sheriff,1.6,0,22.1%,72.5%,5.4%,105
11,12,Bulldog,1.5,0.4,13.6%,76.3%,10.1%,107.6
12,13,Marshal,1.3,1.2,21.3%,73.8%,4.9%,124.9
13,14,Frenzy,1.1,0,15.6%,75.7%,8.7%,80.3
14,15,Stinger,1,0.1,15.8%,74.1%,10.1%,95.3
15,16,Bucky,0.9,0,14.3%,75.7%,10.0%,89.9
16,17,Shorty,0.8,0,14.2%,73.7%,12.0%,83.7
