,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,8.5,2.5,11.3%,72.1%,16.5%,118.1
1,2,Phantom,7,10.5%,71.7%,17.9%,114.5,
2,3,Spectre,5.9,1.3,9.8%,72.7%,17.5%,92
3,4,Ares,5.1,3.4,6.7%,68.4%,24.9%,97
4,5,Odin,3.5,2.2,8.4%,65.6%,26.0%,112.4
5,6,Ghost,2.8,0,10.9%,74.5%,14.6%,80.8
6,7,Judge,2.6,0,9.0%,68.3%,22.7%,92
7,8,Operator,2.5,0,9.4%,83.6%,7.0%,143
8,9,Guardian,2,0.9,11.1%,74.2%,14.6%,124.7
9,10,Classic,1.8,0.3,9.5%,75.0%,15.5%,68.9
10,11,Bulldog,1.7,0.7,9.3%,72.7%,18.1%,101.1
11,12,Sheriff,1.5,0,15.4%,73.2%,11.3%,100.8
12,13,Frenzy,1.3,0,12.0%,74.0%,14.0%,75.1
13,14,Marshal,1.1,0,15.5%,75.6%,9.0%,114.5
14,15,Bucky,0.9,0,10.1%,70.8%,19.1%,77.7
15,16,Shorty,0.8,0,10.6%,68.6%,20.8%,65.1
16,17,Stinger,0.8,0.3,11.1%,70.2%,18.6%,84.9
