,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,38.4,0.7,23.5%,70.5%,6.0%,127.4
1,2,Phantom,20.8,0.1,21.5%,71.8%,6.7%,123.8
2,3,Spectre,7.5,0.1,18.2%,73.9%,7.9%,93.2
3,4,Ghost,6.4,0,26.9%,68.7%,4.5%,87.4
4,5,Operator,5.2,0,10.5%,85.2%,4.3%,147.5
5,6,Sheriff,5.1,0,28.8%,67.5%,3.8%,110.4
6,7,Classic,3.5,1.6,22.4%,72.2%,5.3%,83
7,8,Judge,3.1,0,13.5%,74.1%,12.4%,99.2
8,9,Odin,2.6,1.7,13.3%,70.2%,16.5%,108.5
9,10,Frenzy,2.4,0,21.2%,73.1%,5.7%,84.5
10,11,Marshal,1.6,0,23.4%,72.8%,3.8%,125.4
11,12,Guardian,1.5,0.4,29.4%,66.5%,4.0%,141.4
12,13,Ares,1.4,0.9,11.3%,71.5%,17.2%,91.8
13,14,Bulldog,1.4,0.5,21.1%,72.1%,6.9%,107.2
14,15,Shorty,0.8,0,14.7%,74.3%,11.0%,92.2
15,16,Stinger,0.8,0.1,20.3%,72.6%,7.1%,96.2
16,17,Bucky,0.7,0.1,16.8%,75.6%,7.6%,91.3
