,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,8.8,2.8,10.9%,72.5%,16.7%,119.3
1,2,Phantom,7.4,2.2,10.2%,72.0%,17.9%,115.9
2,3,Spectre,5.2,1.3,9.4%,72.7%,17.9%,93.2
3,4,Ares,4.4,3,6.5%,68.5%,25.0%,98.2
4,5,Odin,3.6,2.4,8.1%,66.7%,25.2%,112.7
5,6,Ghost,2.7,0,11.0%,74.4%,14.6%,82.3
6,7,Judge,2.4,0,9.2%,67.8%,23.0%,93
7,8,Operator,2.4,0,8.7%,83.8%,7.5%,142.8
8,9,Guardian,1.9,1,9.8%,75.7%,14.4%,124.8
9,10,Bulldog,1.8,0.7,9.0%,73.2%,17.8%,102.9
10,11,Classic,1.6,0.3,9.5%,74.8%,15.6%,69.9
11,12,Stinger,1.6,0.3,9.3%,71.5%,19.1%,92.3
12,13,Frenzy,1.4,0,12.1%,73.9%,14.0%,75.2
13,14,Sheriff,1.2,0,14.1%,73.8%,12.1%,99
14,15,Bucky,1.1,0.4,10.6%,68.4%,21.0%,79.5
15,16,Marshal,0.9,0,14.0%,76.3%,9.8%,113.6
16,17,Shorty,0.8,0,10.3%,66.7%,23.0%,64.7
