,Rank,Weapon,Kills Per Match,Alt. Kills Per Match,Headshot %,Bodyshot %,Legshot %,Avg. Damage
0,1,Vandal,14.6,0.6,17.9%,74.0%,8.1%,127.1
1,2,Phantom,6.6,0.2,15.9%,74.8%,9.3%,123.1
2,3,Operator,3.6,10.5%,85.0%,4.5%,150.5,
3,4,Spectre,3.5,0.1,13.2%,75.4%,11.4%,94.8
4,5,Odin,2.8,1.7,9.4%,70.8%,19.8%,114
5,6,Ghost,2.6,0,19.5%,73.7%,6.8%,85.5
6,7,Sheriff,1.8,0,23.3%,71.4%,5.3%,106.2
7,8,Judge,1.7,0,12.7%,74.2%,13.1%,97.7
8,9,Classic,1.7,0.5,16.3%,75.6%,8.1%,74.9
9,10,Guardian,1.7,0.6,20.9%,73.4%,5.7%,138.2
10,11,Ares,1.6,1,12.7%,71.5%,15.8%,98.2
11,12,Bulldog,1.4,0.4,14.4%,75.8%,9.8%,107.9
12,13,Marshal,1.4,1.2,21.8%,73.3%,4.9%,125.7
13,14,Frenzy,1.2,0,16.2%,75.4%,8.5%,81.2
14,15,Bucky,0.9,0,14.7%,75.8%,9.6%,90.1
15,16,Stinger,0.9,0.1,16.2%,73.5%,10.3%,95.1
16,17,Shorty,0.8,0,14.7%,73.5%,11.8%,85.8
